value,command,name,timeStamp,asResponse,actuatorType,timeStampMillis,stateData,hasError,statusCode
35.0,1,HumidifierActuator,"2020-12-12 :06:40:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:41:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:42:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:43:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:44:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:45:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:46:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:47:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:48:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:19",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:24",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:29",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:34",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:39",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:44",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:49",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:54",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:49:59",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:04",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:09",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:14",false,2,0,"Commond on",,0
35.0,1,HumidifierActuator,"2020-12-12 :06:50:19",false,2,0,"Commond on",,0
